matrix,topology,scenario,scheduler,num_agents,metric,solver_a,solver_b,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_raw,cliffs_d,p_bh,significant_bh_q05
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,attack_rate,pibt,rhcr_pbs,30,30,0.24916666666666665,0.23249999999999998,0.016666666666666663,0.6070513497672245,0.5461865397219439,0.11555555555555555,0.691672999181511,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,attack_rate,pibt,token_passing,30,30,0.24916666666666665,0.23916666666666667,0.009999999999999981,0.4420567067251574,0.6604261712952613,0.02,0.789603517247171,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,attack_rate,rhcr_pbs,token_passing,30,30,0.23249999999999998,0.23916666666666667,-0.006666666666666682,-0.29158294503309606,0.7718682431446481,-0.1288888888888889,0.8707832036192795,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,cascade_depth_avg,pibt,rhcr_pbs,30,30,0.1416666666666667,0.06333333333333334,0.07833333333333335,2.4818527524308074,0.01628042596021519,0.3622222222222222,0.039498215559834786,True
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,cascade_depth_avg,pibt,token_passing,30,30,0.1416666666666667,0.024666666666666667,0.11700000000000002,4.098581738998322,0.00018290608933484658,0.57,0.0006887023950421422,True
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,cascade_depth_avg,rhcr_pbs,token_passing,30,30,0.06333333333333334,0.024666666666666667,0.03866666666666667,1.7193466328385374,0.09156909996843411,0.18666666666666668,0.17987978638358917,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,critical_time,pibt,rhcr_pbs,30,30,0.24114666666666668,0.1455666666666667,0.09557999999999997,9.644380267158699,1.781203256688808e-11,0.8133333333333334,1.6993641881382412e-10,True
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,critical_time,pibt,token_passing,30,30,0.24114666666666668,0.2526966666666667,-0.011550000000000005,-2.2766989087106584,0.026667289826641002,-0.3422222222222222,0.06102789827425785,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,critical_time,rhcr_pbs,token_passing,30,30,0.1455666666666667,0.2526966666666667,-0.10712999999999998,-10.533178065791406,5.938698984707519e-13,-0.8622222222222222,7.355651724918436e-12,True
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,fault_tolerance,pibt,rhcr_pbs,30,30,0.9594099999999999,0.9555266666666665,0.0038833333333333497,0.3318316805147109,0.7415466450162552,0.057777777777777775,0.8471390475428417,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,fault_tolerance,pibt,token_passing,30,30,0.9594099999999999,0.9253933333333334,0.03401666666666647,2.2167186738570823,0.032706415666780585,0.2644444444444444,0.07389033427439069,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,fault_tolerance,rhcr_pbs,token_passing,30,30,0.9555266666666665,0.9253933333333334,0.030133333333333123,1.7170561375733162,0.09185079743807917,0.15888888888888889,0.17987978638358917,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,itae,pibt,rhcr_pbs,30,30,25279.49389333333,20243.89555,5035.598343333328,7.237148437476693,6.908776442384187e-09,0.7644444444444445,4.537298761230917e-08,True
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,itae,pibt,token_passing,30,30,25279.49389333333,26944.70166333334,-1665.2077700000118,-3.3558836033030763,0.0014495586794952523,-0.49777777777777776,0.0043734548193318295,True
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,itae,rhcr_pbs,token_passing,30,30,20243.89555,26944.70166333334,-6700.806113333339,-9.048389400761916,5.169876109165968e-12,-0.8644444444444445,5.375828623068648e-11,True
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,rapidity,pibt,rhcr_pbs,30,30,12.3,19.4,-7.099999999999998,-0.9872204223315423,0.32801585823534096,-0.08777777777777777,0.48984647544979576,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,rapidity,pibt,token_passing,30,30,12.3,13.133333333333333,-0.8333333333333321,-0.13416617350921628,0.8937378420588097,-0.0033333333333333335,0.9685017904735527,False
E1_warehouse_dual_dock,warehouse_dual_dock,zone_50t,closest,40,rapidity,rhcr_pbs,token_passing,30,30,19.4,13.133333333333333,6.266666666666666,0.8498358485968424,0.39911419318292934,0.08222222222222222,0.5521396494108114,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,attack_rate,pibt,rhcr_pbs,30,30,0.20000000000000007,0.20000000000000007,0.0,0.0,1.0,0.0,1.0,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,attack_rate,pibt,token_passing,30,30,0.20000000000000007,0.20000000000000007,0.0,0.0,1.0,0.0,1.0,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,attack_rate,rhcr_pbs,token_passing,30,30,0.20000000000000007,0.20000000000000007,0.0,0.0,1.0,0.0,1.0,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,critical_time,pibt,rhcr_pbs,30,30,0.40241666666666664,0.1355,0.26691666666666664,9.089610704542087,1.3044425562271265e-10,0.81,1.123093225239453e-09,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,critical_time,pibt,token_passing,30,30,0.40241666666666664,0.4005733333333333,0.0018433333333333635,0.07908733143974067,0.9373885099402768,-0.1388888888888889,0.9993495271007312,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,critical_time,rhcr_pbs,token_passing,30,30,0.1355,0.4005733333333333,-0.26507333333333327,-7.4368500182922554,7.593303716990041e-10,-0.8066666666666666,5.858876966333299e-09,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,fault_tolerance,pibt,rhcr_pbs,30,29,0.5262733333333333,5.413420689655174,-4.887147356321841,-1.5910490609756822,0.12282637300577312,-0.08505747126436781,0.2281984719528311,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,fault_tolerance,pibt,token_passing,30,30,0.5262733333333333,0.4282533333333333,0.09801999999999994,2.9544581018513707,0.00476973129699551,0.43666666666666665,0.013102841617427355,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,fault_tolerance,rhcr_pbs,token_passing,29,30,5.413420689655174,0.4282533333333333,4.985167356321841,1.6229220395383344,0.11581129851903083,0.20229885057471264,0.216303642207502,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,itae,pibt,rhcr_pbs,30,30,40166.61945,10864.038966666667,29302.58048333333,11.223581570618252,1.6850203285979384e-12,0.9733333333333334,1.9663212429589164e-11,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,itae,pibt,token_passing,30,30,40166.61945,35375.042223333345,4791.577226666654,1.9041899187695046,0.06606434997696725,0.07111111111111111,0.1375853424299082,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,itae,rhcr_pbs,token_passing,30,30,10864.038966666667,35375.042223333345,-24511.003256666678,-6.896667545100099,4.399247857214746e-09,-0.7977777777777778,2.986412487686164e-08,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,rapidity,pibt,rhcr_pbs,28,25,32.42857142857143,1.84,30.58857142857143,3.4591480417430907,0.0017055408780144521,0.4357142857142857,0.005069944673171382,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,rapidity,pibt,token_passing,28,26,32.42857142857143,5.538461538461538,26.89010989010989,2.82802731048012,0.00751086382406055,0.41208791208791207,0.019675954952826525,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_20pct,closest,80,rapidity,rhcr_pbs,token_passing,25,26,1.84,5.538461538461538,-3.6984615384615385,-0.8869872896189643,0.3814217761702749,-0.003076923076923077,0.5357035402346788,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,80,critical_time,pibt,rhcr_pbs,30,30,0.5443,0.15262,0.39168000000000003,12.805232451936682,3.5558697466241316e-14,1.0,4.827777002147379e-13,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,80,critical_time,pibt,token_passing,30,30,0.5443,0.49035999999999996,0.05394000000000004,2.1436568912414797,0.03934185113959323,0.10555555555555556,0.08666254884415857,False
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,80,critical_time,rhcr_pbs,token_passing,30,30,0.15262,0.49035999999999996,-0.33773999999999993,-8.805089775725342,3.9325052432530834e-12,-0.8755555555555555,4.206588942025268e-11,True
E1_warehouse_dual_dock,warehouse_dual_dock,burst_50pct,closest,80,fault_tolerance,pibt,rhcr_pbs,30,29,0.2161733333333333,4.960627586206897,-4.744454252873564,-2.1964698840042858,0.03650233514482156,-0.3218390804597701,0.08142385027565252,False
