solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,itae,rapidity,attack_rate,fleet_utilization,solver_step_avg_us,solver_step_max_us,wall_time_ms
pibt,warehouse_single_dock,burst_20pct,closest,40,11,false,0.3800,190,0.0098,0.0460,0.7901,0.2020,,1.00,,,0.8000,-16.6667,6522,0.00,1.00,20433.3333,0.00,0.2000,0.7908,35.8,1185.0,18
pibt,warehouse_single_dock,burst_20pct,closest,40,22,true,0.4480,224,0.0118,0.0406,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.9,1169.0,21
pibt,warehouse_single_dock,burst_20pct,closest,40,22,false,0.2620,131,0.0069,0.3383,0.4624,0.2693,,1.00,,,0.8000,-41.5179,15751,0.00,1.00,24010.0000,26.00,0.2000,0.7946,47.8,1972.0,24
pibt,warehouse_single_dock,burst_20pct,closest,40,33,true,0.4560,228,0.0123,0.0395,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,50.4,7814.0,28
pibt,warehouse_single_dock,burst_20pct,closest,40,33,false,0.3220,161,0.0083,0.0862,0.6319,0.2818,,1.00,,,0.8000,-29.3860,11333,0.00,1.00,25160.5000,0.00,0.2000,0.7926,30.8,1151.0,15
pibt,warehouse_single_dock,burst_20pct,closest,40,44,true,0.4420,221,0.0115,0.0428,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,37.2,1982.0,24
pibt,warehouse_single_dock,burst_20pct,closest,40,44,false,0.3200,160,0.0081,0.1165,0.6667,0.2693,,1.00,,,0.8000,-27.6018,11930,0.00,1.00,22992.6667,65.00,0.2000,0.7924,29.1,1161.0,14
pibt,warehouse_single_dock,burst_20pct,closest,40,55,true,0.4500,225,0.0120,0.0416,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,33.9,1140.0,19
pibt,warehouse_single_dock,burst_20pct,closest,40,55,false,0.3340,167,0.0086,0.0520,0.6742,0.2793,,1.00,,,0.8000,-25.7778,10699,0.00,1.00,24181.0000,36.00,0.2000,0.7925,30.8,1174.0,15
pibt,warehouse_single_dock,burst_20pct,closest,40,101,true,0.4460,223,0.0120,0.0410,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.2,1264.0,22
pibt,warehouse_single_dock,burst_20pct,closest,40,101,false,0.3660,183,0.0095,0.0571,0.7790,0.2195,,1.00,,,0.8000,-17.9372,7962,0.00,1.00,20796.1667,0.00,0.2000,0.7912,32.3,1169.0,16
pibt,warehouse_single_dock,burst_20pct,closest,40,202,true,0.4380,219,0.0115,0.0408,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.5,1161.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,202,false,0.3240,162,0.0084,0.1723,0.6686,0.2594,,1.00,,,0.8000,-26.0274,9761,0.00,1.00,23565.1667,30.00,0.2000,0.7926,37.0,1890.0,18
pibt,warehouse_single_dock,burst_20pct,closest,40,303,true,0.4560,228,0.0118,0.0442,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,42.0,1985.0,26
pibt,warehouse_single_dock,burst_20pct,closest,40,303,false,0.3700,185,0.0095,0.0489,0.7611,0.2519,,1.00,,,0.8000,-18.8596,8975,0.00,1.00,23057.0000,0.00,0.2000,0.7915,34.8,1202.0,17
pibt,warehouse_single_dock,burst_20pct,closest,40,404,true,0.4360,218,0.0112,0.0410,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.6,1204.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,404,false,0.3520,176,0.0091,0.0593,0.7640,0.2594,,1.00,,,0.8000,-19.2661,7951,0.00,1.00,23489.8333,0.00,0.2000,0.7913,35.4,2332.0,18
pibt,warehouse_single_dock,burst_20pct,closest,40,505,true,0.4600,230,0.0120,0.0430,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.7,1176.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,505,false,0.3480,174,0.0091,0.1092,0.6940,0.2419,,1.00,,,0.8000,-24.3478,11025,0.00,1.00,22780.0000,0.00,0.2000,0.7917,34.2,1183.0,17
pibt,warehouse_single_dock,burst_20pct,closest,40,1111,true,0.4400,220,0.0118,0.0453,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,61.0,8027.0,33
pibt,warehouse_single_dock,burst_20pct,closest,40,1111,false,0.2940,147,0.0077,0.1921,0.5876,0.2494,,1.00,,,0.8000,-33.1818,13735,0.00,1.00,21657.3333,0.00,0.2000,0.7933,29.4,1165.0,15
pibt,warehouse_single_dock,burst_20pct,closest,40,2222,true,0.4340,217,0.0118,0.0454,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.4,1198.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,2222,false,0.3540,177,0.0091,0.0693,0.7753,0.2494,,1.00,,,0.8000,-18.4332,8601,0.00,1.00,21420.5000,0.00,0.2000,0.7911,41.5,1445.0,21
pibt,warehouse_single_dock,burst_20pct,closest,40,3333,true,0.4340,217,0.0117,0.0397,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.9,1181.0,21
pibt,warehouse_single_dock,burst_20pct,closest,40,3333,false,0.3540,177,0.0092,0.0714,0.7765,0.2294,,1.00,,,0.8000,-18.4332,7437,0.00,1.00,21656.0000,59.00,0.2000,0.7908,31.5,1178.0,16
pibt,warehouse_single_dock,burst_20pct,closest,40,4444,true,0.4560,228,0.0119,0.0430,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,47.4,1836.0,27
pibt,warehouse_single_dock,burst_20pct,closest,40,4444,false,0.3360,168,0.0089,0.1274,0.6667,0.2643,,1.00,,,0.8000,-26.3158,11521,0.00,1.00,22860.0000,26.00,0.2000,0.7920,40.6,1844.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,5555,true,0.4460,223,0.0117,0.0434,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,53.2,2324.0,34
pibt,warehouse_single_dock,burst_20pct,closest,40,5555,false,0.3220,161,0.0088,0.1837,0.6517,0.2693,,1.00,,,0.8000,-27.8027,10045,0.00,1.00,23351.8333,42.00,0.2000,0.7921,30.2,1163.0,15
pibt,warehouse_single_dock,burst_20pct,closest,40,10000,true,0.4500,225,0.0115,0.0454,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,43.0,3648.0,27
pibt,warehouse_single_dock,burst_20pct,closest,40,10000,false,0.3360,168,0.0085,0.1048,0.6868,0.2369,,1.00,,,0.8000,-25.3333,11006,0.00,1.00,21408.6667,0.00,0.2000,0.7922,53.3,1728.0,27
pibt,warehouse_single_dock,burst_20pct,closest,40,20000,true,0.4340,217,0.0114,0.0417,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.6,1166.0,20
pibt,warehouse_single_dock,burst_20pct,closest,40,20000,false,0.3320,166,0.0090,0.1042,0.7135,0.2544,,1.00,,,0.8000,-23.5023,9799,0.00,1.00,22548.6667,0.00,0.2000,0.7913,31.9,1317.0,16
pibt,warehouse_single_dock,burst_20pct,closest,40,30000,true,0.4260,213,0.0111,0.0448,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.3,1146.0,20
