solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,true,0.1733,52,0.0016,0.8313,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9400,38966.7,863126.0,11695
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,false,0.1733,52,0.0016,0.8313,,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,4.00,5.00,-3.00,0.0000,,0.0556,1.0000,0.9400,71952.4,1662213.0,21717
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,true,0.1767,53,0.0016,0.8257,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9400,107463.5,5649047.0,32243
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,false,0.1767,53,0.0016,0.8257,,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,2.40,3.00,-1.40,0.0000,,0.0463,1.0000,0.9400,193183.2,9897451.0,58028
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,true,1.1333,340,0.0117,0.1698,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8533,3511662.5,20886073.0,1053503
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,false,1.1767,353,0.0120,0.1408,1.0594,0.0945,176.00,1.00,,288,1.0000,3.8235,2581,0.05,1.05,5.05,8.00,-4.00,7218.3667,,0.2037,0.9883,0.8333,3988882.3,17932454.0,1197091
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,true,1.1967,359,0.0121,0.1122,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7133,43050858.5,1096373973.0,12915266
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,1024,false,1.1867,356,0.0134,0.1367,0.9874,0.0647,,1.00,,,1.0000,-0.8357,1497,0.06,1.06,6.50,10.00,-5.44,7413.3000,,0.1759,0.9863,0.7467,29957348.3,164176569.0,8987609
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,true,1.0533,316,0.0108,0.2327,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7800,6288484.7,56692115.0,1886555
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,false,1.0833,325,0.0108,0.1941,1.0450,0.1393,186.00,1.00,,296,1.0000,2.8481,5741,0.00,1.00,5.56,10.00,-4.56,7221.6667,,0.3148,0.9899,0.6800,11254280.7,60251481.0,3377091
